Top_Country_or_Other,Year,Value_USD|Export|Extractives,Value_USD|Export|Non Extractives,Value_USD|Import|Extractives,Value_USD|Import|Non Extractives
တရုတ်,2009,,,418956761.0,227165425.0
တရုတ်,2010,248524347.0,227747733.0,605758453.0,360328885.0
တရုတ်,2011,726353029.0,788924384.0,1357460241.0,322412603.0
တရုတ်,2012,408990814.0,973908854.0,908932841.0,389293101.0
တရုတ်,2013,650338460.0,2402723340.0,2460252451.0,396614130.0
တရုတ်,2014,2079204339.0,1956169755.0,15236467095.0,364812356.0
တရုတ်,2015,2645300883.0,2185544070.0,4555848658.0,893446388.0
တရုတ်,2016,1987832524.0,2778848123.0,2913691182.0,1184017501.0
တရုတ်,2017,2580309627.0,2817755427.0,3105819983.0,1420528015.0
တရုတ်,2018,2423099806.0,3136501323.0,,
ဟောင်ကောင်,2009,,,11288890.0,30893959.0
ဟောင်ကောင်,2010,1597088296.0,14664485.0,11114862.0,29971219.0
ဟောင်ကောင်,2011,546321297.0,6437076.0,8152695.0,39310163.0
ဟောင်ကောင်,2012,139317771.0,3251250.0,7047242.0,39994351.0
ဟောင်ကောင်,2013,357088120.0,16171934.0,4223836.0,36770580.0
ဟောင်ကောင်,2014,335800060.0,10456309.0,2883875.0,60188096.0
ဟောင်ကောင်,2015,287885492.0,26307727.0,2286997.0,62027901.0
ဟောင်ကောင်,2016,147742354.0,44868906.0,7160596.0,69924230.0
ဟောင်ကောင်,2017,19289686.0,61910444.0,10501367.0,79365120.0
ဟောင်ကောင်,2018,450511749.0,116833632.0,3453589.0,97638279.0
ဂျာမနီ,2009,,,137000.0,81177000.0
ဂျာမနီ,2010,,,75517.0,78409224.0
ဂျာမနီ,2011,,,5396.0,83920994.0
ဂျာမနီ,2012,,9199590.0,2534084.0,53926950.0
ဂျာမနီ,2013,,26192570.0,8784360.0,64476718.0
ဂျာမနီ,2014,194958.0,63302685.0,8719942.0,125909725.0
ဂျာမနီ,2015,697005.0,78720961.0,10802880.0,210952831.0
ဂျာမနီ,2016,1334010.0,171025983.0,18707707.0,340124805.0
ဂျာမနီ,2017,1611510.0,358735485.0,23378492.0,616365923.0
ဂျာမနီ,2018,2088056.0,503335321.0,56602151.0,977476008.0
အိန္ဒိယ,2009,,,323814988.0,858009711.0
အိန္ဒိယ,2010,351995698.0,606109716.0,430942586.0,691204589.0
အိန္ဒိယ,2011,337757135.0,591450542.0,617779983.0,644264282.0
အိန္ဒိယ,2012,1716757435.0,1046742087.0,706026135.0,640155948.0
အိန္ဒိယ,2013,389365374.0,422164628.0,738114724.0,628122867.0
အိန္ဒိယ,2014,284132138.0,551451112.0,566406870.0,826349285.0
အိန္ဒိယ,2015,119010514.0,894980272.0,121038190.0,895262874.0
အိန္ဒိယ,2016,139652149.0,898461737.0,163214783.0,921719491.0
အိန္ဒိယ,2017,141421835.0,566693219.0,177939560.0,560099705.0
အိန္ဒိယ,2018,121249510.0,452885471.0,153455433.0,355525481.0
ဂျပန်,2009,,,17617005.0,323639375.0
ဂျပန်,2010,8631602.0,206520455.0,15454647.0,370480120.0
ဂျပန်,2011,17845603.0,292163426.0,23854214.0,566159583.0
ဂျပန်,2012,6447315.0,367195928.0,16180891.0,655952267.0
ဂျပန်,2013,2981768.0,776994243.0,22890876.0,736404996.0
ဂျပန်,2014,14503128.0,517725044.0,31316091.0,829348833.0
ဂျပန်,2015,10711106.0,475877411.0,17774459.0,846485345.0
ဂျပန်,2016,8881784.0,654551933.0,24063055.0,910788612.0
ဂျပန်,2017,16569301.0,886456591.0,22458126.0,1043711818.0
ဂျပန်,2018,18179084.0,1369470207.0,24964337.0,1255016573.0
မလေးရှား,2009,,,20102588.0,124070532.0
မလေးရှား,2010,9696912.0,153151429.0,38892860.0,190335751.0
မလေးရှား,2011,3817367.0,186631444.0,30227588.0,203521569.0
မလေးရှား,2012,4930702.0,422589698.0,28493084.0,154918876.0
မလေးရှား,2013,3124902.0,240301015.0,29111539.0,169049892.0
မလေးရှား,2014,4033845.0,251587445.0,36030806.0,131162172.0
မလေးရှား,2015,26785674.0,159018788.0,30357920.0,146065927.0
မလေးရှား,2016,18058940.0,126300341.0,37054517.0,161575741.0
မလေးရှား,2017,75964295.0,111830208.0,59188008.0,165988300.0
မလေးရှား,2018,146100983.0,116712644.0,134662162.0,170603231.0
အခြား,2009,,,6613975.666666667,27934818.25
အခြား,2010,506274267.54545456,203339458.76923078,8667848.23076923,32561387.6875
အခြား,2011,544296542.8888888,262463465.4,9616032.642857144,41749336.5
အခြား,2012,365557981.7692308,324920266.375,9616945.88235294,36998930.375
အခြား,2013,429225231.2307692,397389361.75,17492863.214285713,33375918.23529412
အခြား,2014,506277117.7692308,324669808.0588235,19334455.85714286,48859448.5882353
အခြား,2015,542716853.3333334,366979228.5,25152409.5,56869760.88235294
အခြား,2016,346437846.3076923,462103079.1666667,19908933.416666668,91747548.26666667
အခြား,2017,418494000.46153843,624544975.4705882,22433169.25,121547178.625
အခြား,2018,476404323.6923077,864354991.0,38025008.72727273,171025573.7142857
ကိုရီးယား,2009,,,4219415.0,74130713.0
ကိုရီးယား,2010,1750158.0,123691860.0,3022223.0,156870142.0
ကိုရီးယား,2011,1324236.0,205664147.0,2991429.0,295689349.0
ကိုရီးယား,2012,791797.0,294016105.0,3902907.0,347261120.0
ကိုရီးယား,2013,4422548.0,322469224.0,5814445.0,481954833.0
ကိုရီးယား,2014,692584.0,376055523.0,3932331.0,575785821.0
ကိုရီးယား,2015,5238449.0,287418601.0,8061777.0,497617720.0
ကိုရီးယား,2016,10475056.0,324340876.0,20654860.0,438011531.0
ကိုရီးယား,2017,3899285.0,296757569.0,13019098.0,450316693.0
ကိုရီးယား,2018,7861004.0,437971839.0,,
စင်ကာပူ,2009,,,9689133.0,108623442.0
စင်ကာပူ,2010,53994540.0,222310978.0,15117552.0,67823205.0
စင်ကာပူ,2011,47777864.0,349069379.0,17257565.0,68647519.0
စင်ကာပူ,2012,24036176.0,332488448.0,16840696.0,62193822.0
စင်ကာပူ,2013,148212847.0,509160867.0,96098277.0,83132490.0
စင်ကာပူ,2014,121302438.0,428462944.0,96961351.0,61819183.0
စင်ကာပူ,2015,110273793.0,560091896.0,55316276.0,67970613.0
စင်ကာပူ,2016,54875709.0,835883855.0,51776157.0,74537962.0
စင်ကာပူ,2017,69876856.0,665347276.0,41465556.0,69629976.0
စင်ကာပူ,2018,46279772.0,444132330.0,,
ထိုင်း,2009,,,2647384232.0,134189343.0
ထိုင်း,2010,3115614268.0,61632500.0,2688187373.0,125678324.0
ထိုင်း,2011,2996587224.0,220342649.0,3162449928.0,105867984.0
ထိုင်း,2012,2266533528.0,128110633.0,3545813006.0,128172394.0
ထိုင်း,2013,3828823216.0,769299868.0,3869653810.0,163272116.0
ထိုင်း,2014,3527710021.0,218313235.0,3708587745.0,208135071.0
ထိုင်း,2015,2998144826.0,361213255.0,3358849422.0,197783061.0
ထိုင်း,2016,1893738814.0,347757876.0,2058097151.0,310881286.0
ထိုင်း,2017,2202365591.0,496291603.0,,
ထိုင်း,2018,2496622207.0,560267032.0,2603527911.0,408602610.0
ယူနိုက်တက်ကင်းဒမ်း,2009,,,5305.0,55031391.0
ယူနိုက်တက်ကင်းဒမ်း,2010,108.0,34774485.0,255151.0,54714331.0
ယူနိုက်တက်ကင်းဒမ်း,2011,76944.0,97288474.0,198028.0,69086862.0
ယူနိုက်တက်ကင်းဒမ်း,2012,,10052799.0,506063.0,64181438.0
ယူနိုက်တက်ကင်းဒမ်း,2013,77871.0,56065836.0,969697.0,86860905.0
ယူနိုက်တက်ကင်းဒမ်း,2014,48111.0,58236584.0,698306.0,125779099.0
ယူနိုက်တက်ကင်းဒမ်း,2015,390212.0,38853159.0,940051.0,156064262.0
ယူနိုက်တက်ကင်းဒမ်း,2016,147494.0,68611457.0,2415474.0,204005410.0
ယူနိုက်တက်ကင်းဒမ်း,2017,146932.0,288727947.0,6221359.0,290528499.0
ယူနိုက်တက်ကင်းဒမ်း,2018,2890.0,422972733.0,1229423.0,388356609.0
